1047
50 52
652 907 1
799 1202 0
115 1433 0
426 1370 0
415 850 0
918 959 1
922 1320 0
812 1241 1
92 545 1
317 456 0
801 1014 1
107 858 0
432 742 1
462 518 1
1236 1290 0
498 955 0
103 1294 0
374 654 1
171 572 0
30 489 1
940 1142 0
250 820 0
1374 1408 0
919 1429 0
887 957 0
845 1038 1
70 446 1
238 792 1
358 1069 0
203 858 1
1361 1389 1
165 1209 1
25 624 0
674 1398 1
543 1251 1
977 1241 0
1004 1420 1
1227 1361 1
153 1387 0
1 362 0
0 1091 1
280 542 1
695 1125 1
1135 1295 0
791 953 1
1430 1440 0
1298 1336 0
622 997 0
1192 1299 1
196 348 1
264 565 0
655 964 0
49 61 0
185 332 1
53 1174 1
328 1088 0
206 273 1
651 678 1
494 1196 0
839 1086 0
265 1103 1
1048 1318 0
1241 1252 0
1172 1204 0
579 1137 0
276 743 1
871 1196 1
186 810 0
1129 1178 1
1270 1434 0
497 692 0
1138 1426 0
295 1129 0
765 1323 0
919 1088 0
126 1084 0
1385 1405 1
285 524 1
914 1060 1
816 999 0
421 1374 1
645 728 1
1097 1314 0
612 728 0
796 1398 1
301 956 0
1064 1392 1
941 1357 0
537 1197 1
770 1210 1
1327 1348 0
1246 1376 0
988 1185 0
1111 1199 0
164 1070 1
347 910 1
1250 1407 0
1336 1372 1
185 231 0
1294 1373 1
1287 1400 1
381 535 0
545 588 1
1380 1431 0
30 445 0
1188 1227 1
455 826 1
707 831 1
390 1010 1
322 1128 1
571 645 1
1068 1330 1
687 897 1
1204 1357 0
1048 1181 1
930 1062 0
313 751 0
724 801 1
798 1339 0
782 1209 0
1054 1195 0
23 1340 1
1009 1314 1
833 1226 1
528 920 0
389 1235 1
648 1428 0
13 371 1
676 739 1
458 481 1
708 1402 1
890 1389 0
1343 1374 0
936 1059 0
1338 1422 0
542 957 0
517 604 0
1232 1292 1
1176 1240 1
592 908 1
1143 1190 0
179 708 0
1377 1433 0
172 1402 0
865 1439 1
458 1307 0
1247 1375 0
172 650 1
76 1343 1
461 1044 1
836 894 0
730 1331 0
132 1343 0
27 964 1
603 858 0
1090 1350 0
1056 1148 1
21 1162 0
965 1078 1
1350 1406 0
599 1108 0
846 1011 0
1320 1400 1
310 1285 0
700 1012 0
1099 1134 1
1021 1041 1
539 612 0
1162 1347 1
51 1210 1
377 835 1
875 1165 1
74 654 0
1112 1220 0
685 815 0
1115 1267 0
130 887 0
927 1370 1
264 458 0
187 1071 0
1214 1230 1
213 439 1
1147 1352 0
1209 1239 0
1309 1329 0
1230 1405 0
924 1228 0
1218 1359 0
661 693 0
231 1002 0
844 1358 0
1350 1428 1
300 1151 1
645 1238 1
591 836 1
1014 1386 0
434 697 0
981 1084 1
871 1358 1
1346 1365 0
102 925 0
519 1044 1
526 1383 1
1127 1429 1
893 1422 0
35 683 1
658 1210 0
1258 1406 1
121 831 1
869 1337 1
171 1168 0
482 848 0
605 1019 0
1089 1345 0
264 723 1
1086 1201 1
1181 1318 1
50 990 0
589 767 1
1328 1349 0
524 769 0
231 822 1
1063 1297 1
48 463 1
695 1249 0
56 664 1
1125 1285 1
320 1222 0
632 1067 0
112 402 0
1054 1126 1
620 848 0
678 1434 0
840 1285 0
754 1352 1
745 1184 0
21 812 1
550 1312 0
1408 1439 0
122 1242 0
392 1131 0
562 1161 0
946 1190 0
666 1328 1
1371 1401 0
646 1099 0
46 872 1
895 1162 0
992 1156 0
137 525 1
248 1047 0
873 1215 1
827 1177 0
1088 1120 0
873 1004 0
1183 1228 1
972 1278 0
773 1017 0
576 1062 0
1374 1430 1
406 914 0
724 1119 1
1360 1440 1
718 1013 0
818 1201 1
1288 1398 0
377 1083 1
757 970 1
882 919 0
1273 1320 0
410 480 0
1226 1330 1
858 955 0
1383 1421 1
300 711 1
285 1374 0
678 1114 0
754 1141 1
559 852 1
681 1132 1
772 1244 0
720 747 0
841 961 1
422 869 1
1169 1402 1
1098 1367 1
235 1133 1
33 710 0
843 1407 0
993 1371 1
30 1277 0
1260 1415 0
791 1374 1
176 1226 1
125 260 1
568 610 0
1085 1098 1
554 741 1
348 421 1
1158 1340 0
133 1361 0
1388 1408 0
1136 1214 1
314 1240 0
857 1245 0
720 1413 1
1309 1373 0
1422 1432 1
511 1135 1
901 1419 1
986 1122 0
720 865 0
314 848 1
1366 1378 0
40 1165 0
1351 1421 1
1060 1147 1
848 1123 1
564 1060 0
634 1204 0
34 445 1
1058 1285 1
365 531 0
167 922 0
965 1107 0
563 1071 1
946 958 0
989 1112 0
623 1395 1
1331 1418 0
671 1232 1
1290 1387 0
1130 1432 0
620 766 0
396 1048 1
1332 1376 1
448 469 1
1117 1142 1
501 687 0
300 742 0
313 393 1
736 1139 1
1249 1280 1
792 1139 1
1179 1233 0
184 298 1
500 1431 0
787 1425 1
303 1383 0
44 1272 0
991 1416 1
1064 1210 1
244 892 1
623 646 0
96 474 1
557 1329 0
1254 1357 1
1110 1388 1
1306 1363 0
339 1034 1
947 1060 1
1181 1274 1
563 1171 1
1404 1440 1
1285 1295 1
1389 1426 0
1051 1292 0
1176 1367 1
727 740 0
921 1208 0
163 387 1
134 533 1
806 832 0
182 294 0
610 970 1
107 754 0
560 1180 0
314 526 0
1411 1431 1
114 988 1
1376 1436 0
134 1211 0
1103 1248 1
935 1252 1
713 819 1
1356 1415 0
864 978 1
1230 1398 0
520 1004 0
776 1163 0
279 454 1
1140 1293 1
1251 1371 1
473 1160 1
416 667 0
425 1296 0
1223 1244 1
475 651 0
93 489 1
1233 1263 1
970 1263 1
977 1399 0
1410 1431 0
560 1165 1
7 669 0
521 567 1
319 610 1
1234 1369 1
548 1263 0
1248 1375 0
686 1032 1
233 523 1
1012 1375 1
725 1008 1
13 1093 1
1289 1357 1
418 1260 1
1339 1373 0
1304 1314 1
14 1388 1
793 1359 1
1053 1438 0
719 1081 0
926 1398 0
297 1204 0
204 724 1
1250 1346 0
1330 1377 1
1056 1430 0
797 1438 1
1268 1293 1
1382 1427 0
186 1140 1
154 1110 1
919 1258 1
328 824 0
734 1304 1
58 637 0
1111 1178 1
1068 1424 0
1193 1231 1
841 1093 0
1392 1406 0
899 1345 1
370 1425 1
554 608 0
385 554 0
413 865 0
749 1426 1
1337 1435 1
818 1377 0
892 936 0
33 210 0
129 1381 1
358 627 1
13 923 1
1147 1413 1
364 472 0
1337 1381 0
350 872 1
477 854 0
63 327 0
49 609 0
604 1187 0
1306 1389 0
1350 1438 0
357 893 1
629 776 0
1048 1234 0
1400 1411 0
483 615 0
828 1430 0
1354 1369 0
107 1054 1
1100 1262 1
293 590 1
749 1087 0
52 184 0
929 1094 1
1371 1427 0
633 873 1
355 719 1
573 1227 0
1284 1389 0
457 642 1
639 1202 0
102 151 1
1006 1413 1
1419 1440 0
506 968 1
778 1129 0
460 1350 1
678 1285 0
375 939 1
290 359 1
746 777 1
802 1004 0
32 273 0
1142 1228 1
993 1343 0
1022 1305 0
985 1221 1
1428 1440 0
715 1326 1
1419 1440 1
5 245 0
874 1022 0
331 617 1
490 1072 0
421 514 0
837 1137 1
117 1069 0
511 1320 1
304 514 0
1077 1338 0
275 1375 0
530 1092 1
442 692 1
169 1407 1
236 830 0
1195 1319 1
853 976 1
1052 1277 0
740 875 1
482 1026 0
597 1127 1
1055 1297 0
1312 1422 1
1003 1272 1
214 630 0
1275 1360 1
54 333 1
196 1034 0
257 586 0
968 1315 0
644 1152 1
1281 1396 0
841 1425 1
1130 1236 1
787 910 1
785 860 0
1085 1102 0
1211 1346 0
1408 1436 1
47 413 0
133 1359 0
946 1377 0
615 779 1
242 1079 0
820 1118 0
437 751 0
731 1198 1
401 1207 0
780 991 0
378 475 0
356 967 1
368 746 0
369 1223 0
555 1436 1
687 1428 0
302 996 0
1393 1421 1
389 399 0
471 1048 1
1015 1375 1
1019 1258 1
473 1332 1
433 870 1
514 601 0
816 1158 1
1391 1402 0
78 924 1
1065 1177 0
712 1056 0
929 1107 1
1181 1273 0
1019 1181 1
1284 1347 0
743 1362 0
1320 1405 1
1398 1438 0
881 1382 1
1325 1391 1
1090 1217 1
1133 1205 1
1044 1207 0
586 868 1
430 958 0
397 1213 0
884 1032 0
1110 1303 0
149 1418 1
623 1266 0
848 1065 0
1246 1269 1
436 1100 1
1043 1151 0
299 807 1
865 949 1
736 1360 0
393 620 1
655 1225 0
165 265 0
951 1315 1
905 1186 1
366 735 0
351 1317 1
419 712 0
963 1323 0
707 1356 0
72 1009 0
333 1285 1
685 749 0
307 1208 1
251 1416 1
320 598 0
1035 1370 1
1021 1252 0
163 540 1
372 609 0
294 1222 1
720 1297 1
453 595 0
1012 1356 1
1125 1379 1
782 1438 1
645 1191 0
690 1010 1
379 841 1
1066 1409 0
154 1349 0
1140 1272 1
747 992 0
1373 1393 1
109 1181 1
1216 1401 1
998 1429 0
257 452 1
1018 1320 0
784 1136 1
980 991 0
739 908 1
757 1160 1
439 1138 1
365 907 1
1034 1133 1
928 1284 1
526 664 1
1392 1428 0
913 1399 1
97 753 1
815 861 1
211 1309 1
